,0
h1_atr_ratio,104411.81618050982
h4_relative_spread,84037.66035694815
h4_bvc_imbalance,80668.09402279028
h4_log_return,51738.454728644654
atr_ratio,51509.7408683043
h4_candle_body_atr,36356.1251720218
h4_bvc_delta_norm,35741.95960942322
h4_volume_delta_norm,26304.51907228182
vcp_compression,25216.938675653964
intraday_position,23511.973904718645
dist_to_swing_l,23447.060911747005
h4_upper_wick_atr,22663.4305669975
h4_log_return_4b,22268.791422081336
h4_rsi_14_velocity,22147.11959406237
rolling_vol_20,21879.954691062216
dist_to_swing_h,20733.90124411555
h4_lower_wick_atr,18334.956607777316
hour_cos,17591.80637546132
h1_relative_spread,17374.267217428114
h4_body_ratio,15947.637273607155
macd_histogram,14779.714778178333
h4_ema_dist_20,14407.403763658056
rsi_14,12696.423019603826
h4_stoch_k,12685.929935599677
h4_upper_wick_ratio,12212.591950776832
h1_vcp_compression,11961.8968228437
hour_sin,11906.52417193322
ema_dist_20,11661.752531883618
h4_lower_wick_ratio,11435.822720417907
ema_dist_200,11388.848013537625
stoch_k,10920.816845835498
h1_candle_body_atr,10408.20524168449
h1_bvc_delta_norm,10016.57865701771
log_return_4b,9572.21511609666
hour_raw,9267.609884247184
ema_slope_20,9060.714536149055
h1_bvc_imbalance,8200.330534727158
h4_atr_ratio,8083.149751006626
ema_dist_50,7618.447017915237
h1_stoch_k,7445.916760551433
h4_vcp_compression,7150.678524117917
h4_convexity_20,7122.473843048948
h1_kyle_lambda,7075.090660654008
rolling_skew_50,6926.4887585788965
h4_rolling_kurt_50,6782.263623877118
h1_log_return_4b,6743.312668391969
h1_log_return,6593.400779899831
h4_rolling_vol_20,6541.924915847679
h4_hurst_100,6467.0206983573735
h4_dist_to_swing_l,6465.819410806522
h4_atr_14,6396.124364837073
atr_14,6371.641499681234
h4_macd_histogram,6209.138262098034
h4_effort_vs_result,6181.399414115275
h1_rolling_kurt_50,6040.507453754544
h1_rolling_skew_50,6039.116345393394
h4_rolling_skew_50,5942.657766498625
h4_kyle_lambda,5928.150214098394
h4_volume_delta_ratio_14,5846.0050345944865
ema_convergence,5771.796835818638
h1_rolling_vol_20,5708.594691208874
rolling_kurt_50,5702.863893658544
h1_hurst_100,5587.4293484023465
h4_obv_zscore,5532.427581577252
h4_roll_spread,5521.22877125442
h1_upper_wick_atr,5516.305998624924
h4_ema_convergence,5468.249344505991
dow_sin,5288.883966273318
h4_dist_to_swing_h,5280.476650102374
h1_ema_convergence,5223.10565886243
h1_macd_histogram,5122.1992486131685
kyle_lambda,5101.715966820096
h1_macd_signal,5042.972454427431
h1_dist_to_swing_h,5030.088808647047
h1_roll_spread,5001.5552299283445
h4_rsi_14,4906.919733053073
h1_bars_since_bos,4826.625390025166
h1_volume_delta_ratio_14,4756.836945284468
h4_bars_since_bos,4724.519916513003
h1_convexity_20,4668.388657492275
h1_dist_to_swing_l,4615.9747365512885
h4_stoch_d,4488.528884749238
h1_stoch_d,4418.660486770405
h1_rsi_14_velocity,4261.674088768661
h1_obv_zscore,4226.261755942677
macd_line,4217.615344359384
bars_since_bos,4199.018693715024
h1_lower_wick_atr,4107.895377699907
h1_ema_slope_200,4095.394006377707
ema_slope_200,4006.3357450279095
h1_upper_wick_ratio,3979.2032828402394
macd_signal,3963.030009859096
roll_spread,3933.3517096464057
h4_macd_signal,3922.302650975684
h1_atr_14,3842.6279627550393
h1_volume_delta_norm,3816.2196269898363
dom_sin,3698.8643815991963
h1_lower_wick_ratio,3535.6587111707777
h4_ema_slope_200,3453.465058835689
h4_ema_dist_200,3452.5500528042517
convexity_20,3443.874512507891
stoch_d,3440.9032076290846
h1_macd_line,3414.2761886008084
h1_effort_vs_result,3297.121268555522
session_london,3275.845297150314
h1_body_ratio,3176.3525392611823
h4_ema_dist_50,3164.932133367906
bvc_delta_norm,2996.148291304164
dow_cos,2977.3894445126257
h4_ema_slope_20,2928.137173416093
volume_delta_ratio_14,2807.3208526303156
dom_cos,2800.108725460867
obv_zscore,2779.4862231011502
h1_ema_dist_200,2737.246675569564
hurst_100,2680.445970463877
h1_rsi_14,2670.9795155127845
h4_macd_line,2603.2274357955903
h1_ema_dist_20,2541.187567692677
h1_ema_slope_20,2532.423106972128
ema_slope_50,2462.5834449711256
dow_raw,2460.74910395965
moy_sin,2059.546234405289
volume_delta_norm,2008.1944385659106
h4_ema_slope_50,1975.540309123695
candle_body_atr,1921.997272104025
moy_cos,1877.6637694040935
h1_ema_dist_50,1811.510113453803
h4_net_structure,1720.0648634632428
log_return,1677.6363999061286
h1_net_structure,1604.3631029382038
bvc_imbalance,1559.043728258849
h1_ema_slope_50,1454.2065460626036
relative_spread,1038.0824299588178
net_structure,1008.922018824766
rsi_14_velocity,749.3110935582081
session_ny,706.271767731756
effort_vs_result,566.4940810191134
upper_wick_ratio,507.45744009191793
upper_wick_atr,503.1207982090612
lower_wick_atr,500.9972956092097
lower_wick_ratio,424.79658348443144
body_ratio,412.30933759563294
session_overlap,370.65412978082895
h4_swing_high,246.92520693937936
h4_hh_flag,236.76895050207773
h4_swing_low,193.51684746146202
h4_lh_flag,178.36706574757895
h4_ll_flag,142.43890301386514
h4_hl_flag,134.88756321618953
session_asian,124.54344335198402
h1_ll_flag,123.93808281421661
is_weekend,95.54951876401901
h4_bos_bull,89.77510786056519
h1_hl_flag,76.14457325140636
h1_swing_high,69.76849327484767
h1_lh_flag,52.24087013800939
is_monday_open,50.452163298924766
h1_hh_flag,49.59738020102183
h4_bos_bear,49.27930680910746
h1_swing_low,45.28666780392329
hl_flag,31.967371841271717
h4_choch_bull,24.449949741363525
bos_bear,20.703431675831478
h1_bos_bull,16.119724810123444
h4_choch_bear,13.90633487701416
h1_bos_bear,13.537578384081522
swing_low,8.634275977810224
bos_bull,7.303308208783467
h1_choch_bear,6.6738399267196655
hh_flag,5.74994679292043
choch_bear,5.412561655044556
choch_bull,5.379189968109131
h1_choch_bull,4.371821641921997
swing_high,4.365267048279445
lh_flag,3.9572632908821106
ll_flag,0.0
